graph,matrix type,start nodes proportion,query,method,run number,execution time in sec
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,8,1.513145999982953
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,9,9.210722957737744
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,9,1.4973474997095764
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,10,9.268862833734602
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,10,1.4150342498905957
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,11,9.326119708362967
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,11,1.415358291938901
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,12,9.319784375373274
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,12,1.5102546666748822
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,13,9.217371291015297
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,13,1.50106391729787
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,14,9.30076029105112
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,14,1.4239923330023885
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,15,9.239722124766558
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,15,1.4170662919059396
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,16,9.32897924957797
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,16,1.5139077086932957
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,17,9.20335783297196
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,17,1.5006532920524478
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,18,9.274256541859359
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,18,1.4170754156075418
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,19,9.298608790617436
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,19,1.417940208222717
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,20,9.28735383413732
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,20,1.5113763329572976
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,21,9.186444333288819
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,21,1.4978197910822928
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,22,9.254608999937773
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,22,1.4208057918585837
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,23,9.321886791847646
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,23,1.4179319576360285
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,24,9.2636888329871
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,24,1.5126319169066846
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,25,9.210137625224888
